Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Mayo 1748,También hay duelo en las damas,,,,,1304,,,,,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Mayo 1748,También por la voz hay dicha,,,,,1147,,,,,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Mayo 1748,También por la voz hay dicha,,,,,2366,,,,,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,3240,,,,,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,2656,,,,,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,2744,,,,,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,4237,,,,,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,2860,,,,,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,2299,,,,,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,3465,,,,,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Mayo 1748,*Viento es la dicha de amor,,Zarzuela,,,2016,,,,,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Mayo 1748,La presumida y la hermosa,,,,,662,,,,,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Mayo 1748,El príncipe perseguido,,,,,616,,,,,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Mayo 1748,El príncipe perseguido,,,,,1359,,,,,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Mayo 1748,El valiente Campuzano,,,,,476,,,,,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,2948,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,3558,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,3011,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,4389,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,1769,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,1889,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,979,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,1636,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Junio 1748,*Pedro Vayalarde (5ª parte),,,,,,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
